,query
0,steve mcqueen provided a thrilling motorcycle chase in this greatest of all ww 2 prison escape movies
1,liza minnelli and joel gray won oscars for their roles in this 1972 movie that follows nightclub entertainers in berlin as the nazis come to power
2,what is that tom hanks and julia roberts movie about hanks who plays a down on his luck average guy who goes back to college and gets taught by roberts
3,what is the movie making fun of macgyver by re enacting scenes similar to his movies
4,i am thinking of an animated film based on a classic theodor geisel children s novel about a young boy s quest to save the trees
5,what 1981 feature film starring mel gibson takes place in a post apocalyptic world in australia
6,this steven speilberg supernatural story of a haunted house made many filmgoers afraid of clowns
7,in what 1997 movie is there a scene featuring muscians playing on the deck of a ship
8,what s the movie with julie andre where she sings and flies with an umbrella and dick van dyke
9,what is the movie where jbiebs does his concerts
10,what was banksy the star and director doing before he created this film
11,john travolta had that one scene where he had to jam the saving rod into a woman s chest
12,what is the 1959 american thriller film directed by alfred hitchcock and starring cary grant and eva marie saint
13,i m thinking of an 80 s comedy film that stars dustin hoffman and terri garr where hoffman s character dresses up as a woman to land a job
14,what movie is about a teenage boy getting bit by a radioactive arachnid and gaining super powers
15,i am thinking of a blockbuster science fiction film that stars will smith and tommy lee jones as undercover agents who fight intergalactic beings
16,i am thinking of a film in which a little girl s house accidentally lands on top of a witch and the witches sister vows revenge
17,what baseball film starring dennis quaid is based on the true story of pitcher jim morris
18,a 1939 movie adaptation of 1000 plus page book starring clark gable and vivien leigh
19,what movie was inspired by a very famous song by the beatles and written by paul mccartney
20,i m thinking of a movie where the wimpy main character befriends a fierce animal to the dismay of his viking community
21,what film did billy bob thornton win an oscar for writing
22,what 1979 musical is loosely based on the life and career of the film s director bob fosse
23,while shooting this pivotal counterculture film paul newman was said to have eaten over fifty boiled eggs in a single afternoon
24,what 2012 movie revived the american pie chain by bringing back jason biggs alyson hannigan and most of the rest of the cast from the original film
25,based on a graphic novel this film stars actor mickey rourke and features others such as jessica alba carla gugino bruce willis and tobey maguire
26,what 2000 movie is the story of two warriors chasing down a stolen sword run into a skilled nobleman s daughter
27,i m thinking of a movie with leo dicaprio in which he enters the human mind through their dreams
28,a young girl lets three strangers escort her to see a strange gentleman that is fond of magic tricks
29,released in 1967 this film featured a major cast of stars portraying a group of enlisted convicts in wwii led by lee marvin
30,i am thinking of the award winning steven spielberg film that stars tom hanks as an army captain on a mission to rescue the sole survivor of four enlisted brothers after the invasion of normandy
31,what is the movie about luke skywalker breaking free from his aunt and uncle to rescue princess leia
32,what is the film based off the children s rhyme about the couple who go over the hill
33,what is that film starring julia roberts who plays a middle aged woman who decides to embark on an adventure and goes to bali
34,im thinking of a movie where a manhattan couple are suddenly dealing with the issue of employment and move to a community where free love rules
35,fuck you thunder your just gods farts
36,which film is about a group of seemingly unrelated characters being isolated and tortured by the villain jigsaw
37,what is the name of the animated film based on a clown fish who has lost his son
38,i am thinking of the film adaptation of the fannie flagg novel that stars jessica tandy and kathy bates and tells the tale of a strong bond between two depression era women
39,i want to see that movie with jonah hill who has to bring an alcoholic english rockstar playboy nuisance to his destination before a set time
40,what movie features psychopath norman bates and the most famous shower scene in cinematic history
41,this movie is about a street urchin accidentally meets princess jasmine who is in the city undercover they love each other but she can only marry a prince
42,what s the movie where the myth of gangster keiser soze is recounted from different perspectives
43,what is the name of the movie where jeremy renner plays the sergeant of an army bomb squad unit during the iraq war
44,what is this 1972 iconic american epic crime film about a man who has an offer you ca n t refuse
45,i am thinking of a film that was based on a classic literary novel written by emily bronte about a boy named heathcliff
46,this gene kelly classic has three friends struggling to find work in paris things become more complicated when two of them fall in love with the same woman
47,in this 2012 movie chris pine and tom hardy are cia agents fighting each other over a girl
48,what is the movie that s based on a man who goes on adventures and meets both giants and very small people
49,which of these movies came out in 2010 and starred jake gyllenhaal in a pg 13 disney movie
50,what is the movie where an unappreciated villain in a video games leaves his game and enters others
51,what movie about a rambunctious rock star was a spin off to the comedy forgetting sarah marshall
