,query,link1,text1,link2,text2,link3,text3,link4,text4,link5,text5,link6,text6,link7,text7,link8,text8,link9,text9,link10,text10
1,what is the movie featuring two women played by geena davis and susan sarandon who take off in a thunderbird,https://www.hotcars.com/everything-you-need-to-know-about-the-1966-ford-thunderbird-in-thelma-and-louise/,"HotCars
Everything You Need To Know About The 1966 Ford Thunderbird In 'Thelma And Louise'
The movie, Thelma and Louise, featured two female protagonists, who went on an adventure in a fabled convertible and ultimately became...
.
07-Sept-2022",https://www.yahoo.com/lifestyle/see-geena-davis-susan-sarandon-163812549.html,"Yahoo
See Geena Davis & Susan Sarandon Recreate Their ""Thelma & Louise"" Kiss
Thirty years ago, Geena Davis and Susan Sarandon starred as Thelma and Louise respectively in the groundbreaking movie that shattered...
.
19-Jun-2021",https://www.hollywoodreporter.com/movies/movie-news/thelma-and-louise-reunion-geena-davis-susan-sarandon-1234970834/,"The Hollywood Reporter
‘Thelma & Louise’ Reunion: Susan Sarandon, Geena Davis Talk Film’s Shocking Reception, Predictions it Would Change Hollywood: “We’re Still Waiting”
The pair joined Oscar-winning screenwriter Callie Khouri (and the original 1966 Ford Thunderbird convertible) for a Cinespia charity event...
.
19-Jun-2021",https://247wallst.com/special-report/2023/03/14/the-most-iconic-cars-in-movies/,"24/7 Wall St.
The Most Iconic Cars in Movies
Movies are memorable for many reasons. They may include an engrossing plot like the film noir “Chinatown,” a gripping direction such as that...
.
3 weeks ago",https://ultrahd.highdefdigest.com/114844/thelmalouise4kultrahdbluraythecriterioncollection.html,"4K Ultra HD
Thelma & Louise - The Criterion Collection 4K Ultra HD Blu-ray Ultra HD Review | High Def Digest
Two women, a turquoise Thunderbird, the ride of a lifetime. With this pop-culture landmark, screenwriter Callie Khouri and action auteur Ridley Scott...
.
1 month ago",https://www.usatoday.com/story/life/movies/2016/05/23/25-years-later-geena-davis-reflects-thelma-louise/84662348/,"USA Today
25 years later, Geena Davis reflects on 'Thelma & Louise'
It's been a quarter century since Thelma & Louise soared over the Grand Canyon in a dusty blue Thunderbird. “Not to burst people's bubble,...
.
23-May-2016",https://www.slashfilm.com/762684/how-thelma-louises-alternate-ending-would-have-completely-changed-the-film/,"Slash Film
How Thelma & Louise's Alternate Ending Would Have Completely Changed The Film
When Thelma (Geena Davis) and Louise (Susan Sarandon) held hands and plunged their blue 1966 Thunderbird into the Grand Canyon, it was an...
.
09-Feb-2022",https://screenrant.com/thelma-louise-anniversary-screening-original-car-sarandon-davis/,"Screen Rant
Susan Sarandon & Geena Davis Reunite In Original Car For Thelma & Louise Anniversary
Susan Sarandon and Geena Davis reunited in the original movie car from Thelma & Louise to honor the flick's 30th-anniversary release date.
.
21-Jun-2021",https://www.npr.org/2011/05/20/136462014/looking-back-on-thelma-louise-20-years-later,"NPR
Looking Back On 'Thelma & Louise' 20 Years Later
Screenwriter Callie Khouri looks back on her first film, which won her an Oscar as it upended conventional gender roles and combined some of...
.
19-May-2011",https://www.upi.com/Entertainment_News/Movies/2014/06/26/Geena-Davis-Susan-Sarandon-reunite-over-Thelma-Louise-discuss-co-star-Brad-Pitt/9231403811078/,"UPI.com
Geena Davis, Susan Sarandon reunite, discuss Brad Pitt in 'Thelma & Louise'
Geena Davis and Susan Sarandon recently reunited to discuss their classic 1991 film ""Thelma & Louise"" and co-star Brad Pitt.
.
26-Jun-2014"
2,what is the name of the movie where drew barrymore and justin long have a relationship even though they live on opposite coasts,https://www.imdb.com/title/tt1322312/,"IMDb
Drew Barrymore and Justin Long in Going the Distance (2010)
Going the Distance: Directed by Nanette Burstein. With Drew Barrymore, Justin Long, Charlie Day, Jason Sudeikis. A romantic comedy centered on a guy and a...
.
27-Feb-2015",https://www.dailymail.co.uk/femail/article-2369184/Absence-DOES-make-heart-grow-fonder-Why-long-distance-love-actually-strengthen-relationship.html,"Daily Mail
Absence DOES make the heart grow fonder: Why long distance love can actually strengthen a relationship
Couples in long-distance relationships have stronger relationships in many ways than those who live closer together, new research shows.
.
18-Jul-2013",http://www.stuff.co.nz/entertainment/4087855/Barrymore-Long-go-the-distance,"Stuff.co.nz
Barrymore, Long 'go the distance'
Nobody ever said Hollywood relationships were easy, and the on-again off-again affair of Justin Long and Drew Barrymore certainly proves...
.
02-Sept-2010",,,,,,,,,,,,,,
3,what s that movie about the grumpy semi bald guy that relives the same day over and over,https://collider.com/galleries/30-creepiest-kids-tv-shows/,"Collider
TV's Creepiest Kids' Movies and TV
There are certain films and TV shows made for children that are needlessly freaky, and defy any reasonable explanation.
.
03-Apr-2019",https://www.wired.com/2015/07/medical-marijuana-epilepsy/,"WIRED
One Man's Desperate Quest to Cure His Son's Epilepsy—With Weed
My son's epilepsy caused him to have up to 100 seizures a day. Our last hope: an untested, unproven treatment.
.
06-Jul-2015",,,,,,,,,,,,,,,,
4,what is this 1997 masterpiece directed by james cameron featuring a ship crashing into an iceberg,https://www.cleveland.com/entertainment/2023/02/titanic-by-the-numbers-james-camerons-movie-masterpiece-returns-to-theaters-for-25th-anniversary.html,"Cleveland.com
‘Titanic’ by-the-numbers: James Cameron’s movie masterpiece returns to theaters for 25th anniversary
The film opened on Dec. 19, 1997, and went on to become one of the most critically acclaimed and commercially successful films in Hollywood...
.
1 month ago",https://www.pajiba.com/film_reviews/everything-you-need-to-know-about-titanic-for-its-25th-anniversary-.php,"Pajiba
Everything You Need To Know About 'Titanic' For Its 25th Anniversary
""Never underestimate James Cameron."" Since the beginning of his filmmaking career, James Cameron has faced nearly insurmountable odds and...
.
21-Dec-2022",https://faroutmagazine.co.uk/20-movies-changed-cinema-forever/,"Far Out Magazine
20 masterpiece movies that changed cinema forever
Popularly recognised to be the very first motion picture ever made, our list starts with the pioneering work of Eadweard Muybridge in the...
.
1 month ago",https://ewn.co.za/2022/04/12/the-titanic-creative-masterpiece-or-real-life-event,"EWN
The Titanic: Creative masterpiece or real-life event?
On the 110th anniversary of the most famous shipwreck in the world, it is time to dive into the shivery ocean of James Cameron's masterpiece...
.
12-Apr-2022",https://www.thetravel.com/things-the-titanic-movie-got-right-wrong-right/,"TheTravel
The Titanic: 13 Things The Movie Got Wrong (12 They Got Right)
James Cameron's epic feature film Titanic is considered one of the biggest blockbusters of all time. After all, according to Box Office Mojo...
.
25-Dec-2018",,,,,,,,,,
5,what was the 2010 movie starring leonardo dicaprio as a police officer investigating an asylum that was n t as it seemed,https://www.radiotimes.com/movies/shutter-island-movie-ending-explained/,"Radio Times
Shutter Island ending explained: Here's what really happened to Leonardo DiCaprio's character
Leonardo DiCaprio's 2010 thriller Shutter Island may have been released over a decade ago, but it remains a fan favourite.
.
20-May-2022",https://editorial.rottentomatoes.com/guide/20-movies-to-watch-if-you-loved-shutter-island/,"Rotten Tomatoes
20 Movies To Watch If You Loved Shutter Island
Martin Scorsese followed his Best Picture and Director-winning The Departed with his most directly entertaining, plot twist-heavy movie, a psychological...
.
19-Feb-2020",https://nofilmschool.com/shutter-island-ending-explained,"No Film School
'Shutter Island' Ending Explained
When it comes to movie endings, Martin Scorsese knows how to land a punch. His films are historic rides throughout many different genres.
.
27-Sept-2021",https://faroutmagazine.co.uk/martin-scorsese-10-best-films-21st-century/,"Far Out Magazine
Martin Scorsese’s 10 best films of the 21st century
The finest modern films of Martin Scorsese, including 'The Wolf of Wall Street' starring Leonardo DiCaprio, Margot Robbie, Jonah Hill and...
.
17-Nov-2021",,,,,,,,,,,,
7,what s the movie based on the melville novel about a monomaniacal sea captain hunting a giant white whale,https://www.peoplesworld.org/article/moby-dick-melville-s-masterpiece-gets-an-operatic-treatment/,"People's World
“Moby-Dick”: Melville's masterpiece gets an operatic treatment
LOS ANGELES - In 2014 LA Opera presented Herman Melville's Billy Budd, as interpreted by composer Benjamin Britten and librettists E.M....
.
02-Nov-2015",https://www.washingtonpost.com/lifestyle/travel/on-the-trail-of-moby-dicks-author-in-three-new-england-towns/2017/09/19/8740e15e-989e-11e7-87fc-c3f7ee4035c9_story.html,"The Washington Post
On the trail of 'Moby-Dick' in three New England towns
In the 'Melville Triangle,' visitors learn about the author's life and work — and, of course, whales.
.
19-Sept-2017",,,,,,,,,,,,,,,,
8,what ang lee film was oscar nominated for best picture while winning the best foreign language film oscar,https://www.indiewire.com/gallery/best-picture-oscar-snubs/,"IndieWire
Best Picture Oscar Snubs: 32 Nominees That Should’ve Won
""Doctor Strangelove,"" ""Fargo,"" ""Get Out,"" ""Broadcast News,"" ""Pulp Fiction"": These famous nominees should've won Best Picture at the Oscars.
.
3 weeks ago",https://collider.com/best-filmmakers-who-havent-directed-best-picture/,"Collider
10 Best Filmmakers Who Haven't Directed a Best Picture Winner
Sure, the Academy Awards aren't the be-all and end-all when it comes to judging how successful a filmmaker is. It may be the biggest and...
.
11-Oct-2022",https://www.washingtonpost.com/movies/2023/03/10/everything-everywhere-oscars-asian-actors/,"The Washington Post
'Everything Everywhere All at Once' is the Oscars juggernaut
Let it be said for the record: The movie with 11 Academy Award nominations — the odds-on best picture front-runner that has steamrolled...
.
3 weeks ago",https://movieweb.com/directors-with-most-oscar-wins/,"MovieWeb
10 Directors Who Have Won the Most Oscars
Directing is a crucial aspect of filmmaking, and the Oscar for Best Director is widely recognized as a pinnacle of achievement in the...
.
25-Jan-2023",https://www.goldderby.com/gallery/best-ang-lee-movies/,"GoldDerby
Ang Lee Movies: 12 Greatest Films Ranked Worst to Best
Ang Lee is an Oscar-winning filmmaker who has worked in a variety of genres and styles to explore the lives of people around the globe.
.
15-Oct-2022",https://mainichi.jp/english/articles/20230313/p2g/00m/0et/029000c,"The Mainichi
'Everything Everywhere' sweeps Oscars, Malaysia's Michelle Yeoh best actress - The Mainichi
(Kyodo) -- ""Everything Everywhere All at Once,"" a wacky action film about multiverses with a predominantly Asian cast, swept the 95th...
.
3 weeks ago",https://www.buzzfeed.com/myanmercado/oscars-facts-that-sound-fake-but-are-shockingly-true,"BuzzFeed
19 Oscars Facts That Sound Fake, But Are Shockingly True
The Oscars are widely considered to be the most prestigious of film awards. Winning a gold-plated statuette is one of the highest honors a...
.
1 month ago",https://www.cnn.com/entertainment/live-news/oscars-2023/index.html,"CNN
Oscars 2023: The 95th Academy Awards
That's a wrap: ""Everything Everywhere All at Once"" dominated the 2023 Oscars. The strange and sentimental film won the big awards,...
.
3 weeks ago",https://www.hollywoodreporter.com/movies/movie-features/the-governors-ball-hollywood-glitziest-afterparty-turns-65-1235343117/,"The Hollywood Reporter
The Governors Ball: Hollywood’s Glitziest Afterparty Turns 65
Inside the Governors Ball that has hosted a who's who after the Oscars, as even A-listers are starstruck by who else is in the room.
.
3 weeks ago",https://www.nytimes.com/2023/02/19/movies/baftas-winners-2023.html,"The New York Times
'All Quiet on the Western Front' Wins Big at the BAFTAs
The German-language antiwar movie won best film, best director and five other awards at Britain's equivalent of the Academy Awards.
.
1 month ago"
9,what is the movie starring christopher reeve as a playwright who finds a way to go into the past to find the woman he loves,https://collider.com/great-romance-movies-that-incorporate-time-travel/,"Collider
10 Great Romance Movies That Incorporate Time Travel
Who would've thought that manipulating time would forge some of the great love stories? Whether it's found within the chivalry of...
.
24-Jan-2023",https://beebom.com/best-movies-like-knives-out/,"Beebom
30+ Best Movies Like Knives Out Worth Watching
Check out the best movies like Knives Out offering a comical plot, including murder mysteries, detective and crime thriller films.
.
03-Jun-2022",https://movieweb.com/romance-movies-hidden-gems/,"MovieWeb
11 Romance Movies You Probably Haven't Seen
Grab your tissues and get ready to fall in love with some of the most captivating and touching love stories you've probably never seen.
.
1 month ago",https://www.quillmag.com/2022/09/20/110-journalism-movies-ranked/,"Quill
UPDATED: 170 journalism movies, ranked
Note: The popularity of this story prompted us to treat it as a dynamic document, adding more reviews as appropriate movies are released or...
.
20-Sept-2022",https://www.slashfilm.com/584845/movies-about-time-travel-ranked-worst-to-best/,"Slash Film
30 Movies About Time Travel Ranked Worst To Best
The notion of time travel is both inherently human (who wouldn't want the opportunity to see what the world will be like after they're gone,...
.
13-Jan-2023",https://www.giantfreakinrobot.com/ent/supergirl-woman-of-tomorrow.html,"GIANT FREAKIN ROBOT
Supergirl: Woman of Tomorrow - All We Know
Let's take a look at everything we know about Supergirl: Woman of Tomorrow after the big DC Cinematic Universe announcements.
.
03-Feb-2023",https://creepycatalog.com/best-time-travel-movies/,"Creepy Catalog
100+ Best Time Travel Movies – Creepy Catalog
Time travel movies fascinate us. Marty McFly with his girlfriend Jennifer Parker and the mad scientist “Doc” Brown in Back to the Future II.
.
07-Jan-2023",https://www.fortressofsolitude.co.za/superman-returns-brandon-routh/,"Fortress of Solitude
Superman Returns: The Underrated Man of Steel Movie Deserves More Love
Brandon Routh and Bryan Singer's Superman Returns is hugely under appreciated. Let's take a look at what made this superhero film so unique.
.
07-Jan-2023",https://parade.com/tv/hallmark-movie-loves-portrait-2022,"Parade
Hallmark's 'Love's Portrait' (2022): Premiere, Cast, Plot and More
One of my all-time favorite films is Somewhere in Time starring Jane Seymour and Christopher Reeve. In it, a present-day playwright is...
.
01-Sept-2022",https://www.glamour.com/gallery/best-time-travel-movies,"Glamour
30 Time-Travel Movies to Watch If You're Ready to Leave 2020 Behind
Here are the 31 best time travel movies, including ""Back to the Future,"" ""About Time"", and ""The Time Traveler's Wife.""
.
20-Jul-2020"
10,name a coen brothers movie that involves a playwright moving to california to work for movie producers,https://indiefilmhustle.com/ultimate-guide-to-the-coen-brothers-and-their-directing-techniques/,"Indie Film Hustle
Ultimate Guide To The Coen Brothers And Their Directing Techniques
BLOOD SIMPLE (1984) My first experience with a Coen Brothers film was 1998's THE BIG LEBOWSKI. I must have been somewhere around 17 or 18 at...
.
22-Jul-2022",https://www.goldderby.com/gallery/best-jonah-hill-movies-ranked/,"GoldDerby
Jonah Hill movies: 12 greatest films ranked from worst to best
Tour our photo gallery including 'The Wolf of Wall Street,' 'Moneyball,' 'Superbad' and more.
.
16-Dec-2022",https://collider.com/to-craft-or-not-to-craft-6-films-that-explore-the-creative-process/,"Collider
To Craft Or Not To Craft — 6 Films That Explore the Creative Process
The artistic struggle is universal among creatives. It's no wonder that directors make films like 'Adaptation' and 'Ratatouille' to explore...
.
17-Jul-2022",https://www.goldderby.com/gallery/best-nicolas-cage-movies-ranked/,"GoldDerby
Nicolas Cage movies: 15 greatest films ranked from worst to best
Nicolas Cage comes from one of film's most esteemed families. His uncle is Francis Ford Coppola (“The Godfather”) and his aunt is actress...
.
31-Dec-2022",https://www.highsnobiety.com/p/coen-brothers-biography/,"Highsnobiety
The Coen Brothers: What You Need to Know
Joel and Ethan Coen (known simply as the Coen brothers) may be two of the most recognizable names in contemporary American cinema,...
.
31-Mar-2016",https://www.hitc.com/en-gb/2021/04/26/frances-mcdormand-husband/,"HITC
Who is Frances McDormand’s husband? Actress embraces lover Joel Coen after Oscar 2021 win
Actress Francis McDormand won the Best Actress award on Sunday, April 25's Oscar ceremony. Find out who is Frances' husband Joel Coen.
.
26-Apr-2021",https://www.flavorwire.com/481487/50-best-films-about-writers-ranked,"Flavorwire
50 Best Films About Writers, Ranked
Hollywood is famous for its treatment of writers. They are the low man on the totem pole, the person banned from the set, the guy who wrote...
.
15-Oct-2014",https://www.hollywoodreporter.com/gallery/hollywoods-notable-deaths-2019-1177463/,"The Hollywood Reporter
Hollywood's Notable Deaths of 2019 – The Hollywood Reporter
Remembering the legends and famous faces who died this year.
.
18-Jan-2019",https://www.bayoubrief.com/2019/04/17/set-in-louisiana-top-40-movies-1938-present/,"Bayou Brief
Set in Louisiana: Top 40 Movies, 1938- Present
I'm back with a non-Carnival related piece. It is, however, inspired by the theme of this year's Bacchus parade: Starring Louisiana.
.
17-Apr-2019",,
11,i am thinking of the blockbuster 70 s film that stars sylvester stallone as a philadelphia boxer,https://www.essentiallysports.com/boxing-news-the-italian-stallion-and-the-king-of-pop-rare-picture-of-michael-jackson-and-sylvester-stallone-sends-fans-into-frenzy/,"Essentially Sports
“The Italian Stallion and the King of Pop”: Rare Picture of Michael Jackson and Sylvester Stallone Sends Fans into Frenzy
There aren't a lot of men who were more famous than Hollywood action star Sylvester Stallone during the 1970s. The American actor got his...
.
1 month ago",https://www.yardbarker.com/entertainment/articles/the_40_greatest_action_stars_of_all_time/s1__29640071,"Yardbarker.com
The 40 greatest action stars of all time
We figured we would look at 40 of the best action movie stars ever. We didn't include the folks at Marvel and DC, because this is not about...
.
2 weeks ago",https://editorial.rottentomatoes.com/guide/all-sylvester-stallone-movies-ranked-by-tomatometer/,"Rotten Tomatoes
All Sylvester Stallone Movies Ranked By Tomatometer
From the iconic Rambo and Rocky to Demolition Man and Stop! Or My Mom Will Shoot, it's the best Sylvester Stallone movies (and the worst) in one place!
.
19-Sept-2019",https://www.digitaltrends.com/movies/best-movies-on-amazon-prime/,"Digital Trends
The best movies on Amazon Prime Video (March 2023)
Travel to the City of a Thousand Planets with Valerian, or revisit the pathos of But I'm a Cheerleader, with the best movies on Amazon Prime Video!
.
09-May-2018",https://www.foxbusiness.com/features/rocky-sylvester-stallone-squares-off-over-stake-in-franchise,"Fox Business
'Rocky' star, writer Sylvester Stallone squares off over franchise stake
Sylvester Stallone is pulling no punches on his decades-long resentment over having zero ownership in the blockbuster ""Rocky"" franchise.
.
23-Jul-2019",https://editorial.rottentomatoes.com/guide/best-boxing-movies-of-all-time/,"Rotten Tomatoes
92 Best Boxing Movies Of All Time
Pugilists have been popular camera subjects since the start — boxing, at the time, being arguably the most interesting thing you do to another person in...
.
19-Nov-2018",https://ultimateclassicrock.com/sylvester-stallone-rocky/,"Ultimate Classic Rock
45 Years Ago: Sylvester Stallone Beats the Odds With 'Rocky'
'Rocky' turned Sylvester Stallone into a star upon its release on Nov. 21, 1976.
.
21-Nov-2021",https://www.phillyvoice.com/rocky-iv-philly-premiere-sylvester-stallone-ivan-drago/,"PhillyVoice
Sylvester Stallone calls director's cut of 'Rocky IV' a more dramatic version of the original movie
'Rocky IV: Rocky vs. Drago – The Ultimate Director's Cut' had a re-carpet premiere in Philadelphia on Thursday night, attended by Sylvester...
.
11-Nov-2021",https://abcnews.go.com/GMA/story?id=2733952&page=1,"ABC News
Rocky Heads to the Ring for One Last Comeback
Dec. 18, 2006 — -- ""It ain't over till it's over,"" says Sylvester Stallone, who stopped by ""Good Morning America"" today to talk about his latest movie,...
.
16-Jul-2013",,
